table_name,discovered_in_cisadm_dictionary,in_workstream_dictionary,workstreams,in_domain_metadata,num_rows,last_analyzed,stats_population_status,stats_freshness
C1_OFFCYC_BGEN_BCHG,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_OFFCYC_BGEN_BSEG,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_OFFCYC_BGEN_CHAR,Y,N,,N,39582,2026-01-09 02:13:28,populated,stale
C1_OFFCYC_BGEN_K,Y,N,,N,38559,2026-01-07 21:29:05,populated,stale
C1_OFFCYC_BGEN_LOG,Y,N,,N,44078,2026-01-09 02:13:31,populated,stale
C1_OFFCYC_BGEN_LOG_PARM,Y,N,,N,43057,2026-01-07 21:29:06,populated,stale
C1_OFFCYC_BGEN_SA,Y,N,,N,38559,2026-01-09 02:13:12,populated,stale
C1_PA_RQST,Y,Y,debt_mgmt,Y,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_CHAR,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_ELIG_RSLT,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_K,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_LOG,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_REL_OBJ,Y,Y,debt_mgmt,Y,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_TYPE,Y,N,,N,6,2026-01-07 21:29:06,populated,stale
C1_PA_RQST_TYPE_ALG,Y,N,,N,14,2026-01-07 21:29:06,populated,stale
C1_PA_RQST_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_TYPE_DOWN_PAY_OPT,Y,N,,N,16,2026-01-07 21:29:07,populated,stale
C1_PA_RQST_TYPE_DOWN_PAY_OPT_L,Y,N,,N,16,2026-01-07 21:29:07,populated,stale
C1_PA_RQST_TYPE_L,Y,N,,N,6,2026-02-11 02:19:41,populated,stale
C1_PER_CONTDET,Y,N,,N,72394,2026-02-13 02:17:15,populated,stale
C1_PER_CONT_DET_K,Y,N,,N,72394,2026-01-07 21:29:07,populated,stale
C1_PER_SS_PAYOPT,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PER_SS_PAYOPT_K,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PREM_ACTIVITY_GTT,Y,N,,N,,,unknown,unknown
C1_PROD,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_CHAR,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP_CHAR,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP_CHILD,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP_ELIG_CRIT,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP_ELIG_CRIT_CHAR,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP_ELIG_CRIT_L,Y,N,,N,0,2026-01-07 21:29:07,empty,stale
C1_PROD_COMP_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_ELIG_CRIT,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_ELIG_CRIT_CHAR,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_ELIG_CRIT_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_RULE,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_RULE_CHAR,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_RULE_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER_CHAR,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER_K,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER_LOG,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROD_VER_RULE,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROV_CONFIG_OPT,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROV_CONFIG_OPT_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROV_CONFIG_SATY,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_PROV_CONFIG_SATY_OVRD,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_RC_CALC_GTT,Y,N,,N,,,unknown,unknown
C1_RC_CALC_LN_GTT,Y,N,,N,,,unknown,unknown
C1_RC_CHAR_GTT,Y,N,,N,,,unknown,unknown
C1_RC_READ_GTT,Y,N,,N,,,unknown,unknown
C1_RC_SQ_GTT,Y,N,,N,,,unknown,unknown
C1_RC_TRACE_GTT,Y,N,,N,,,unknown,unknown
C1_REPRESENTATIVE,Y,Y,customer_ops,Y,35,2026-02-18 02:13:50,populated,stale
C1_REPRESENTATIVE_CHAR,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_REPRESENTATIVE_L,Y,N,,N,35,2026-01-17 22:11:34,populated,stale
C1_REPRESENTATIVE_LOG,Y,N,,N,36,2026-01-07 21:29:08,populated,stale
C1_REPRESENTATIVE_LOG_PARM,Y,N,,N,38,2026-01-07 21:29:08,populated,stale
C1_REP_GRP_MEM,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_RS_POST_PROC,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_RS_POST_PROC_L,Y,N,,N,0,2026-01-07 21:29:08,empty,stale
C1_RS_PRE_PROC,Y,N,,N,200,2026-02-11 02:19:09,populated,stale
C1_RS_PRE_PROC_L,Y,N,,N,191,2026-01-28 02:15:04,populated,stale
C1_RS_RV2,Y,N,,N,156,2026-02-11 02:19:09,populated,stale
C1_RS_RV2_L,Y,N,,N,156,2026-02-11 02:19:40,populated,stale
C1_SA_CONT_PROD,Y,N,,N,0,2026-01-07 21:29:09,empty,stale
C1_SPR_MKT_OPT,Y,N,,N,0,2026-01-07 21:29:09,empty,stale
C1_SPR_MKT_OPT_SA,Y,N,,N,0,2026-01-07 21:29:09,empty,stale
C1_SS_CONT_OVRD,Y,N,,N,26,2026-02-14 22:21:36,populated,stale
C1_SS_CONT_OVRD_K,Y,N,,N,26,2026-02-14 22:21:36,populated,stale
C1_TOU_MAP,Y,N,,N,0,2026-01-07 21:29:09,empty,stale
C1_TOU_MAP_CHAR,Y,N,,N,0,2026-01-07 21:29:09,empty,stale
