child_table,child_column,parent_table,parent_column,join_sql,source,fk_name,workstream,domain_name,join_type
CI_TNDR_CTL,BALANCED_USER_ID,SC_USER_1,USER_ID,CI_TNDR_CTL.BALANCED_USER_ID = SC_USER_1.USER_ID,domain_join_inventory,,Cashiering,Deposit_Control___Domain,leftOuter
CI_TNDR_CTL,BATCH_CD,CI_BATCH_CTRL_L,BATCH_CD,CI_TNDR_CTL.BATCH_CD = CI_BATCH_CTRL_L.BATCH_CD,domain_join_inventory,,Cashiering,Deposit_Control___Domain,leftOuter
CI_TNDR_CTL,DEP_CTL_ID,CI_DEP_CTL,DEP_CTL_ID,CI_TNDR_CTL.DEP_CTL_ID = CI_DEP_CTL.DEP_CTL_ID,domain_join_inventory,,Cashiering,Deposit_Control___Domain,inner
CI_TNDR_CTL,TNDR_CTL_ST_FLG,CI_LOOKUP_VAL_L,FIELD_VALUE,CI_TNDR_CTL.TNDR_CTL_ST_FLG = CI_LOOKUP_VAL_L.FIELD_VALUE,domain_join_inventory,,Cashiering,Deposit_Control___Domain,inner
CI_TNDR_CTL,TNDR_CTL_ST_FLG,CI_LOOKUP_VAL_L_1,FIELD_VALUE,CI_TNDR_CTL.TNDR_CTL_ST_FLG = CI_LOOKUP_VAL_L_1.FIELD_VALUE,domain_join_inventory,,Cashiering,Payment_Tender___Domain,inner
CI_TNDR_CTL,TNDR_SOURCE_CD,CI_TNDR_SRCE_L,TNDR_SOURCE_CD,CI_TNDR_CTL.TNDR_SOURCE_CD = CI_TNDR_SRCE_L.TNDR_SOURCE_CD,domain_join_inventory,,Cashiering,Deposit_Control___Domain,inner
CI_TNDR_CTL,USER_ID,SC_USER,USER_ID,CI_TNDR_CTL.USER_ID = SC_USER.USER_ID,domain_join_inventory,,Cashiering,Deposit_Control___Domain,leftOuter
CI_TNDR_CTL,USER_ID,SC_USER_1,USER_ID,CI_TNDR_CTL.USER_ID = SC_USER_1.USER_ID,domain_join_inventory,,Cashiering,Payment_Tender___Domain,leftOuter
CI_TNDR_DEP,BANK_ACCT_KEY,CI_BANK_ACCOUNT_L,BANK_ACCT_KEY,CI_TNDR_DEP.BANK_ACCT_KEY = CI_BANK_ACCOUNT_L.BANK_ACCT_KEY,domain_join_inventory,,Cashiering,Deposit_Control___Domain,leftOuter
CI_TNDR_DEP,BANK_CD,CI_BANK_ACCOUNT_L,BANK_CD,CI_TNDR_DEP.BANK_CD = CI_BANK_ACCOUNT_L.BANK_CD,domain_join_inventory,,Cashiering,Deposit_Control___Domain,leftOuter
CI_TNDR_DEP,BANK_CD,CI_BANK_L,BANK_CD,CI_TNDR_DEP.BANK_CD = CI_BANK_L.BANK_CD,domain_join_inventory,,Cashiering,Deposit_Control___Domain,leftOuter
CI_WO_EVT,WO_EVT_STAT_FLG,CI_LOOKUP_VAL_L_3,FIELD_VALUE,CI_WO_EVT.WO_EVT_STAT_FLG = CI_LOOKUP_VAL_L_3.FIELD_VALUE,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_EVT,WO_EVT_TYP_CD,CI_WO_EVT_TYP_L,WO_EVT_TYP_CD,CI_WO_EVT.WO_EVT_TYP_CD = CI_WO_EVT_TYP_L.WO_EVT_TYP_CD,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_PROC,ACCT_ID,CI_ACCT,ACCT_ID,CI_WO_PROC.ACCT_ID = CI_ACCT.ACCT_ID,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_PROC,CRIT_PRIO_FLG,CI_LOOKUP_VAL_L_2,FIELD_VALUE,CI_WO_PROC.CRIT_PRIO_FLG = CI_LOOKUP_VAL_L_2.FIELD_VALUE,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,leftOuter
CI_WO_PROC,WO_CNTL_CD,CI_WO_CNTL_L,WO_CNTL_CD,CI_WO_PROC.WO_CNTL_CD = CI_WO_CNTL_L.WO_CNTL_CD,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_PROC,WO_PROC_ID,CI_WO_EVT,WO_PROC_ID,CI_WO_PROC.WO_PROC_ID = CI_WO_EVT.WO_PROC_ID,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_PROC,WO_PROC_TMPL_CD,CI_WO_PROC_TMPL_L,WO_PROC_TMPL_CD,CI_WO_PROC.WO_PROC_TMPL_CD = CI_WO_PROC_TMPL_L.WO_PROC_TMPL_CD,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_PROC,WO_STATUS_FLG,CI_LOOKUP_VAL_L,FIELD_VALUE,CI_WO_PROC.WO_STATUS_FLG = CI_LOOKUP_VAL_L.FIELD_VALUE,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CI_WO_PROC,WO_STAT_RSN_FLG,CI_LOOKUP_VAL_L_1,FIELD_VALUE,CI_WO_PROC.WO_STAT_RSN_FLG = CI_LOOKUP_VAL_L_1.FIELD_VALUE,domain_join_inventory,,Debt Management,Write_Off_Process___Domain,inner
CMS_SA_SNAPSHOT,ACCT_ID,CI_ACCT,ACCT_ID,CMS_SA_SNAPSHOT.ACCT_ID = CI_ACCT.ACCT_ID,oracle_all_constraints,FK_SNAPSHOT_ACCT,,,
CMS_SA_SNAPSHOT,PER_ID,CI_PER,PER_ID,CMS_SA_SNAPSHOT.PER_ID = CI_PER.PER_ID,oracle_all_constraints,FK_SNAPSHOT_PER,,,
D1_ACTIVITY,ACTIVITY_TYPE_CD,D1_ACTIVITY_TYPE,ACTIVITY_TYPE_CD,D1_ACTIVITY.ACTIVITY_TYPE_CD = D1_ACTIVITY_TYPE.ACTIVITY_TYPE_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
D1_ACTIVITY,ACTIVITY_TYPE_CD,D1_ACTIVITY_TYPE_L,ACTIVITY_TYPE_CD,D1_ACTIVITY.ACTIVITY_TYPE_CD = D1_ACTIVITY_TYPE_L.ACTIVITY_TYPE_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
D1_ACTIVITY,BO_STATUS_CD,F1_BUS_OBJ_STATUS_L,BO_STATUS_CD,D1_ACTIVITY.BO_STATUS_CD = F1_BUS_OBJ_STATUS_L.BO_STATUS_CD,domain_join_inventory,,Field Operations,Field_Activity___Domain,inner
D1_ACTIVITY,BO_STATUS_CD,F1_BUS_OBJ_STATUS_L_1,BO_STATUS_CD,D1_ACTIVITY.BO_STATUS_CD = F1_BUS_OBJ_STATUS_L_1.BO_STATUS_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
D1_ACTIVITY,BO_STATUS_REASON_CD,F1_BUS_OBJ_STATUS_RSN_L,BO_STATUS_REASON_CD,D1_ACTIVITY.BO_STATUS_REASON_CD = F1_BUS_OBJ_STATUS_RSN_L.BO_STATUS_REASON_CD,domain_join_inventory,,Field Operations,Field_Activity___Domain,leftOuter
D1_ACTIVITY,BO_STATUS_REASON_CD,F1_BUS_OBJ_STATUS_RSN_L_1,BO_STATUS_REASON_CD,D1_ACTIVITY.BO_STATUS_REASON_CD = F1_BUS_OBJ_STATUS_RSN_L_1.BO_STATUS_REASON_CD,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
D1_ACTIVITY,BUS_OBJ_CD,F1_BUS_OBJ_L,BUS_OBJ_CD,D1_ACTIVITY.BUS_OBJ_CD = F1_BUS_OBJ_L.BUS_OBJ_CD,domain_join_inventory,,Field Operations,Field_Activity___Domain,inner
D1_ACTIVITY,BUS_OBJ_CD,F1_BUS_OBJ_L_1,BUS_OBJ_CD,D1_ACTIVITY.BUS_OBJ_CD = F1_BUS_OBJ_L_1.BUS_OBJ_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
D1_ACTIVITY,BUS_OBJ_CD,F1_BUS_OBJ_STATUS_L,BUS_OBJ_CD,D1_ACTIVITY.BUS_OBJ_CD = F1_BUS_OBJ_STATUS_L.BUS_OBJ_CD,domain_join_inventory,,Field Operations,Field_Activity___Domain,inner
D1_ACTIVITY,BUS_OBJ_CD,F1_BUS_OBJ_STATUS_L_1,BUS_OBJ_CD,D1_ACTIVITY.BUS_OBJ_CD = F1_BUS_OBJ_STATUS_L_1.BUS_OBJ_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
D1_ACTIVITY,CANCEL_REASON,F1_EXT_LOOKUP_VAL_L,F1_EXT_LOOKUP_VALUE,D1_ACTIVITY.CANCEL_REASON = F1_EXT_LOOKUP_VAL_L.F1_EXT_LOOKUP_VALUE,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
D1_ACTIVITY,D1_ACTIVITY_ID,D1_ACTIVITY_CHAR,D1_ACTIVITY_ID,D1_ACTIVITY.D1_ACTIVITY_ID = D1_ACTIVITY_CHAR.D1_ACTIVITY_ID,canonical_chain:field_ops,field_activity_chain,field_ops,,
D1_ACTIVITY,D1_ACTIVITY_ID,D1_ACTIVITY_REL,D1_ACTIVITY_ID,D1_ACTIVITY.D1_ACTIVITY_ID = D1_ACTIVITY_REL.D1_ACTIVITY_ID,domain_join_inventory,,Field Operations,Field_Activity___Domain,leftOuter
D1_ACTIVITY,D1_ACTIVITY_ID,D1_ACTIVITY_REL_OBJ,D1_ACTIVITY_ID,D1_ACTIVITY.D1_ACTIVITY_ID = D1_ACTIVITY_REL_OBJ.D1_ACTIVITY_ID,domain_join_inventory,,Field Operations,Field_Activity___Domain,leftOuter
D1_ACTIVITY,FIELD_TASK_TYPE,F1_EXT_LOOKUP_VAL_L_1,F1_EXT_LOOKUP_VALUE,D1_ACTIVITY.FIELD_TASK_TYPE = F1_EXT_LOOKUP_VAL_L_1.F1_EXT_LOOKUP_VALUE,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
D1_ACTIVITY,RESCHEDULE_REASON,F1_EXT_LOOKUP_VAL_L_2,F1_EXT_LOOKUP_VALUE,D1_ACTIVITY.RESCHEDULE_REASON = F1_EXT_LOOKUP_VAL_L_2.F1_EXT_LOOKUP_VALUE,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
D1_ACTIVITY_CHAR,D1_ACTIVITY_ID,D1_ACTIVITY,D1_ACTIVITY_ID,D1_ACTIVITY_CHAR.D1_ACTIVITY_ID = D1_ACTIVITY.D1_ACTIVITY_ID,domain_join_inventory,,Field Operations,Crew___Domain,inner
D1_ACTIVITY_REL_OBJ,PK_VALUE1,D1_SP,D1_SP_ID,D1_ACTIVITY_REL_OBJ.PK_VALUE1 = D1_SP.D1_SP_ID,domain_join_inventory,,Field Operations,Field_Activity___Domain,leftOuter
D1_ACTIVITY_TYPE,ACTIVITY_TYPE_CD,D1_ACTIVITY_TYPE_L,ACTIVITY_TYPE_CD,D1_ACTIVITY_TYPE.ACTIVITY_TYPE_CD = D1_ACTIVITY_TYPE_L.ACTIVITY_TYPE_CD,domain_join_inventory,,Field Operations,Field_Activity___Domain,inner
D1_CONTACT_IDENTIFIER,ID_VALUE,CI_PER_NAME,PER_ID,D1_CONTACT_IDENTIFIER.ID_VALUE = CI_PER_NAME.PER_ID,domain_join_inventory,,Common,Usage_Transaction_Exception___Domain,inner
