VIEW_OWNER,VIEW_NAME,REFERENCED_OWNER,REFERENCED_NAME,REFERENCED_TYPE
CISADM,CI_RV_BF_RDR_VW,CISADM,CI_RV,TABLE
CISADM,CI_RV_BF_TXE_VW,CISADM,CI_BF,TABLE
CISADM,CI_RV_BF_TXE_VW,CISADM,CI_BF_L,TABLE
CISADM,CI_RV_BF_TXE_VW,CISADM,CI_RC,TABLE
CISADM,CI_RV_BF_TXE_VW,CISADM,CI_RV,TABLE
CISADM,CI_RV_BF_VAL_VW,CISADM,CI_BF,TABLE
CISADM,CI_RV_BF_VAL_VW,CISADM,CI_BF_L,TABLE
CISADM,CI_RV_BF_VAL_VW,CISADM,CI_RC,TABLE
CISADM,CI_RV_BF_VAL_VW,CISADM,CI_RV,TABLE
CISADM,CI_SA_IREG_VW,CISADM,CI_CFG_SPMR_VW,VIEW
CISADM,CI_SA_IREG_VW,CISADM,CI_INTV_REG_TYP,TABLE
CISADM,CI_SA_IREG_VW,CISADM,CI_MTR_CONFIG,TABLE
CISADM,CI_SA_IREG_VW,CISADM,CI_REG,TABLE
CISADM,CI_SA_IREG_VW,CISADM,CI_SA_SP,TABLE
CISADM,CI_SA_RDR_VW,CISADM,CI_SA_CONTERM,TABLE
CISADM,CI_SA_SP_DT_VW,CISADM,CI_SA_SP,TABLE
CISADM,CI_SA_TXE_VW,CISADM,CI_SA_CONTERM,TABLE
CISADM,CI_SA_VAL_VW,CISADM,CI_SA_CONTERM,TABLE
CISADM,CI_SCTY_VAL_VW,CISADM,CI_APP_SVC_SCTY,TABLE
CISADM,CI_SCTY_VAL_VW,CISADM,CI_SC_TYPE_L,TABLE
CISADM,CI_SCTY_VAL_VW,CISADM,SC_USR_GRP_PROF,TABLE
CISADM,CI_SED_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_SED_ACCT_HST_VW,CISADM,CI_SA,TABLE
CISADM,CI_SED_ACCT_HST_VW,CISADM,CI_SEV_EVT,TABLE
CISADM,CI_SED_ACCT_HST_VW,CISADM,CI_SEV_EVT_DEP,TABLE
CISADM,CI_SED_ACCT_HST_VW,CISADM,CI_SEV_PROC,TABLE
CISADM,CI_SE_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_SE_ACCT_HST_VW,CISADM,CI_SA,TABLE
CISADM,CI_SE_ACCT_HST_VW,CISADM,CI_SEV_EVT,TABLE
CISADM,CI_SE_ACCT_HST_VW,CISADM,CI_SEV_PROC,TABLE
CISADM,CI_SP_CHTY_VW,CISADM,CI_CHAR_ENTITY,TABLE
CISADM,CI_SP_CHTY_VW,CISADM,CI_CHAR_TYPE_L,TABLE
CISADM,CI_SP_CHTY_VW,CISADM,CI_CHTY_SPTY,TABLE
CISADM,CI_SP_IT_EV_VW,CISADM,CI_SP_ITEM_EVT,TABLE
CISADM,CI_SP_IT_EV_VW,CISADM,CI_SP_ITEM_HIST,TABLE
CISADM,CI_SP_MTR_EV_VW,CISADM,CI_MR,TABLE
CISADM,CI_SP_MTR_EV_VW,CISADM,CI_SP_MTR_EVT,TABLE
CISADM,CI_SP_MTR_EV_VW,CISADM,CI_SP_MTR_HIST,TABLE
CISADM,CI_SV_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
