KEYWORD_BUCKET,TABLE_NAME,MATCHED_COLUMN_COUNT,EXAMPLE_COLUMN
CUSTOMER,PAY_EVENT_RPT_CURR,3,ACCT_ID
CUSTOMER,W1_PERMIT,3,PERMIT_ID
CUSTOMER,WORKFLOW_QUEUE_RPT_CURR,3,FK_ACCT_ID
CUSTOMER,BILLABLE_CHARGE_RPT_CURR,2,ACCT_ID
CUSTOMER,C0_INSTALLATION,2,ACCT_REL_TYPE_CD
CUSTOMER,C1_BI_BILLED_USAGE_VW,2,ACCT_ID
CUSTOMER,C1_BI_BILL_VW,2,ACCT_ID
CUSTOMER,C1_BI_COLLPROC_VW,2,ACCT_ID
CUSTOMER,C1_BI_FT_VW,2,ACCT_ID
CUSTOMER,C1_BI_SA_SNAPSHOT,2,ACCT_ID
CUSTOMER,C1_BI_SEVPROC_VW,2,ACCT_ID
CUSTOMER,C1_BI_WOPROC_VW,2,ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_PER_ADDR,2,CS_REQ_ACCT_PER_ID
CUSTOMER,C1_CS_REQ_ACCT_PER_K,2,CS_REQ_ACCT_PER_ID
CUSTOMER,C1_CS_REQ_CONT_PROD,2,ACCT_ID
CUSTOMER,C1_CS_REQ_SVC_LOC_CONT_PROD,2,ACCT_ID
CUSTOMER,C1_CUST_REL_REQ,2,ACCT_ID
CUSTOMER,C1_SS_CONT_OVRD,2,ACCT_ID
CUSTOMER,C1_SYRQ_PER_ALL_VW,2,ACCT_ID
CUSTOMER,C1_SYRQ_PER_NF_VW,2,ACCT_ID
CUSTOMER,CI_CAL_PERIOD_L,2,ACCOUNTING_PERIOD
CUSTOMER,CI_CASE_TYPE,2,CASE_ACCT_FLG
CUSTOMER,CI_CC,2,ACCT_ID
CUSTOMER,CI_CC_TYPE,2,CC_ACCT_FLG
CUSTOMER,CI_INSTALLATION,2,ACCT_REL_TYPE_CD
CUSTOMER,CI_NT_UP_XSPL,2,RCV_ACCT_ID
CUSTOMER,CI_PER_ADDR_OVRD,2,ACCT_ID
CUSTOMER,CI_PP,2,ACCT_ID
CUSTOMER,CI_REBATE_CLAIM,2,ACCT_ID
CUSTOMER,CMS_CI_CASE_LOG_VW,2,ACCT_ID
CUSTOMER,CMS_CI_CASE_VW,2,ACCT_ID
CUSTOMER,CMS_CI_TD_ENTRY_CHAR_VW,2,ACCT_ID
CUSTOMER,CMS_SA_SNAPSHOT,2,ACCT_ID
CUSTOMER,D1_EXT_US_INT_MDS_CONST_VW,2,SEC_PER_INTRVL
CUSTOMER,D1_INT_SNAP_MAP,2,INTERVALS_PER_DAY
CUSTOMER,D1_SP_SNAP_DL,2,CIS_EXT_ACCT_ID
CUSTOMER,D1_SP_UNR_USG_SNAP_DL,2,CIS_EXT_ACCT_ID
CUSTOMER,D1_SP_USG_SNAP_DL,2,CIS_EXT_ACCT_ID
CUSTOMER,D1_SP_VEE_EXCP_SNAP_DL,2,CIS_EXT_ACCT_ID
CUSTOMER,D1_USAGE_PERIOD_SQ,2,PERIOD_SEQ_NUM
CUSTOMER,F1_PERF_TGT,2,PERF_TARGET_CD
CUSTOMER,F1_PERF_TGT_REL_OBJ,2,PERF_TARGET_CD
CUSTOMER,W1_CALENDAR_PERIOD,2,ACCTG_PERIOD
CUSTOMER,W1_CALENDAR_PERIOD_L,2,ACCTG_PERIOD
CUSTOMER,W1_OVERHEAD_RESRC,2,CWO_PERCENTAGE
CUSTOMER,W1_PERMIT_CLASS,2,PERMIT_CLASS_CD
CUSTOMER,W1_PERMIT_IDENTIFIER,2,PERMIT_ID
CUSTOMER,X1_BI_ACTIVITY_VW,2,ACCT_ID
CUSTOMER,X1_BI_CASE_LOG_VW,2,ACCT_ID
CUSTOMER,X1_BI_CASE_VW,2,ACCT_ID
CUSTOMER,X1_BI_DVC_EVT_VW,2,ACCT_ID
CUSTOMER,X1_BI_TD_ENTRY_VW,2,ACCT_ID
CUSTOMER,X1_BI_VEE_EXCEPTION_VW,2,CCB_ACCT_ID
CUSTOMER,C1_BI_FTGL_MONTHLY_A,1,GL_ACCT
CUSTOMER,C1_CIS_DIV_RTYP,1,OVRD_WEB_DEBIT_ACCT_VAL_ALG_CD
CUSTOMER,C1_CONT_PROD,1,ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_ALERT,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_CHAR,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_K,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_LOG,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_LOG_PARM,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_MSG,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_MSG_PARM,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT_NCD,1,CS_REQ_ACCT_ID
CUSTOMER,C1_CS_REQ_PER_ADDR_SEAS,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_CHAR,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_CONTDET,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_K,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_LOG,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_LOG_PARM,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_NAME,1,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_TYPE_ALG_PER_BUS,1,PER_OR_BUS_FLG
CUSTOMER,C1_CS_REQ_TYPE_PER_BUS,1,PER_OR_BUS_FLG
CUSTOMER,C1_CS_REQ_TYPE_QUESTION,1,PERS_BUS_QSTN_APPL_FLG
CUSTOMER,C1_CS_REQ_TYPE_SVC_CRIT,1,CRITERIA_OPERATOR_FLG
CUSTOMER,C1_ENRL_CONTDET,1,PER_ID
CUSTOMER,C1_MKTMSG_CHG_DTL,1,MKT_PRICE_PER_UNIT
CUSTOMER,C1_MKTMSG_PAY_DTL,1,ACCT_ID
CUSTOMER,C1_NTF_PREF,1,ACCT_ID
CUSTOMER,C1_OFFCYC_BGEN,1,ACCT_ID
CUSTOMER,C1_PA_RQST,1,ACCT_ID
CUSTOMER,C1_PER_CONTDET,1,PER_ID
CUSTOMER,C1_PER_SS_PAYOPT_K,1,PER_PAY_OPT_ID
CUSTOMER,C1_REPRESENTATIVE,1,PER_ID
CUSTOMER,C1_TOU_MAP_TMPLT,1,C1_SEC_PER_INTRVL
CUSTOMER,C1_TOU_MAP_TYPE,1,C1_SEC_PER_INTRVL
CUSTOMER,C1_WEB_USER,1,PER_ID
CUSTOMER,C1_WEB_USER_ACCT_LOG,1,ACCT_ID
CUSTOMER,C1_WEB_USER_ACCT_LOG_PARM,1,ACCT_ID
CUSTOMER,CI_ACCTG_DAYS_VW,1,ACCOUNTING_PERIOD
CUSTOMER,CI_ACCT_ALERT,1,ACCT_ID
CUSTOMER,CI_ACCT_APAY_K,1,ACCT_APAY_ID
CUSTOMER,CI_ACCT_CHAR,1,ACCT_ID
CUSTOMER,CI_ACCT_CR_R_VW,1,ACCT_ID
CUSTOMER,CI_ACCT_FT_HST_VW,1,ACCT_ID
CUSTOMER,CI_ACCT_K,1,ACCT_ID
CUSTOMER,CI_ACCT_MGMT_GR,1,ACCT_MGMT_GRP_CD
CUSTOMER,CI_ACCT_MGMT_GR_L,1,ACCT_MGMT_GRP_CD
CUSTOMER,CI_ACCT_MGRP_RL,1,ACCT_MGMT_GRP_CD
CUSTOMER,CI_ACCT_MSG,1,ACCT_ID
CUSTOMER,CI_ACCT_MSG_PRM,1,ACCT_ID
CUSTOMER,CI_ACCT_REL_TYP,1,ACCT_REL_TYPE_CD
CUSTOMER,CI_ACCT_REL_TYP_L,1,ACCT_REL_TYPE_CD
CUSTOMER,CI_ACDC_WOSA_VW,1,ACCT_ID
CUSTOMER,CI_ADM_RVW_SCH,1,ACCT_ID
CUSTOMER,CI_APAY_RT_TYPE,1,WEB_DEBIT_ACCT_VAL_ALG_CD
CUSTOMER,CI_APAY_SRC,1,ACCT_VAL_ALG_CD
CUSTOMER,CI_BANK_ACCOUNT,1,BANK_ACCT_KEY
CUSTOMER,CI_BANK_ACCOUNT_L,1,BANK_ACCT_KEY
CUSTOMER,CI_BF_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_BILL,1,ACCT_ID
CUSTOMER,CI_BILL_PERIOD,1,BILL_PERIOD_CD
CUSTOMER,CI_BILL_PERIOD_L,1,BILL_PERIOD_CD
CUSTOMER,CI_BILL_PER_SCH,1,BILL_PERIOD_CD
CUSTOMER,CI_BILL_ROUTING,1,PER_ID
CUSTOMER,CI_BPRT_GRP,1,ACCT_ID
CUSTOMER,CI_BUD_RVW,1,ACCT_ID
CUSTOMER,CI_CAL_GL,1,NUMBER_OF_PERIODS
CUSTOMER,CI_CAL_PERIOD,1,ACCOUNTING_PERIOD
CUSTOMER,CI_CA_ACCT_HIS_VW,1,ACCT_ID
CUSTOMER,CI_CC_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_CEVTD_ACCHST_VW,1,ACCT_ID
CUSTOMER,CI_CEVT_ACCHST_VW,1,ACCT_ID
CUSTOMER,CI_CE_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_COLL_AGY,1,PER_ID
CUSTOMER,CI_COLL_AGY_REF,1,ACCT_ID
CUSTOMER,CI_COLL_PROC,1,ACCT_ID
CUSTOMER,CI_COLL_PROC_1031,1,ACCT_ID
CUSTOMER,CI_CO_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_CPROC_ACCHST_VW,1,ACCT_ID
