OWNER,SYNONYM_NAME,TABLE_OWNER,TABLE_NAME,DB_LINK
BATCHUSER,C1_CS_REQ_PER_ID,CISADM,C1_CS_REQ_PER_ID,
BATCHUSER,C1_CS_REQ_PER_K,CISADM,C1_CS_REQ_PER_K,
BATCHUSER,C1_CS_REQ_PER_LOG,CISADM,C1_CS_REQ_PER_LOG,
BATCHUSER,C1_CS_REQ_PER_LOG_PARM,CISADM,C1_CS_REQ_PER_LOG_PARM,
BATCHUSER,C1_CS_REQ_PER_NAME,CISADM,C1_CS_REQ_PER_NAME,
BATCHUSER,C1_CS_REQ_PER_PER,CISADM,C1_CS_REQ_PER_PER,
BATCHUSER,C1_CS_REQ_PREM,CISADM,C1_CS_REQ_PREM,
BATCHUSER,C1_CS_REQ_PREM_ALT_ADDR,CISADM,C1_CS_REQ_PREM_ALT_ADDR,
BATCHUSER,C1_CS_REQ_PREM_CHAR,CISADM,C1_CS_REQ_PREM_CHAR,
BATCHUSER,C1_CS_REQ_PREM_GEO,CISADM,C1_CS_REQ_PREM_GEO,
BATCHUSER,C1_CS_REQ_PREM_K,CISADM,C1_CS_REQ_PREM_K,
BATCHUSER,C1_CS_REQ_PREM_LOG,CISADM,C1_CS_REQ_PREM_LOG,
BATCHUSER,C1_CS_REQ_PREM_LOG_PARM,CISADM,C1_CS_REQ_PREM_LOG_PARM,
BATCHUSER,C1_CS_REQ_REL_OBJ,CISADM,C1_CS_REQ_REL_OBJ,
BATCHUSER,C1_CS_REQ_SA,CISADM,C1_CS_REQ_SA,
BATCHUSER,C1_CS_REQ_SA_CHAR,CISADM,C1_CS_REQ_SA_CHAR,
BATCHUSER,C1_CS_REQ_SA_CONTERM,CISADM,C1_CS_REQ_SA_CONTERM,
BATCHUSER,C1_CS_REQ_SA_CONT_QTY,CISADM,C1_CS_REQ_SA_CONT_QTY,
BATCHUSER,C1_CS_REQ_SA_COP,CISADM,C1_CS_REQ_SA_COP,
BATCHUSER,C1_CS_REQ_SA_COP_OVRD,CISADM,C1_CS_REQ_SA_COP_OVRD,
BATCHUSER,C1_CS_REQ_SA_K,CISADM,C1_CS_REQ_SA_K,
BATCHUSER,C1_CS_REQ_SA_LOG,CISADM,C1_CS_REQ_SA_LOG,
BATCHUSER,C1_CS_REQ_SA_LOG_PARM,CISADM,C1_CS_REQ_SA_LOG_PARM,
BATCHUSER,C1_CS_REQ_SA_MSG,CISADM,C1_CS_REQ_SA_MSG,
BATCHUSER,C1_CS_REQ_SA_RCHG,CISADM,C1_CS_REQ_SA_RCHG,
BATCHUSER,C1_CS_REQ_SA_RS,CISADM,C1_CS_REQ_SA_RS,
BATCHUSER,C1_CS_REQ_SA_SP,CISADM,C1_CS_REQ_SA_SP,
BATCHUSER,C1_CS_REQ_SA_SP_CHAR,CISADM,C1_CS_REQ_SA_SP_CHAR,
BATCHUSER,C1_CS_REQ_SA_SP_FA,CISADM,C1_CS_REQ_SA_SP_FA,
BATCHUSER,C1_CS_REQ_SA_SP_K,CISADM,C1_CS_REQ_SA_SP_K,
BATCHUSER,C1_CS_REQ_SA_TOU_CONT_VAL,CISADM,C1_CS_REQ_SA_TOU_CONT_VAL,
BATCHUSER,C1_CS_REQ_SVC_LOC,CISADM,C1_CS_REQ_SVC_LOC,
BATCHUSER,C1_CS_REQ_SVC_LOC_CHAR,CISADM,C1_CS_REQ_SVC_LOC_CHAR,
BATCHUSER,C1_CS_REQ_SVC_LOC_CONT_PROD,CISADM,C1_CS_REQ_SVC_LOC_CONT_PROD,
BATCHUSER,C1_CS_REQ_SVC_LOC_K,CISADM,C1_CS_REQ_SVC_LOC_K,
BATCHUSER,C1_CS_REQ_SVC_LOC_LOG,CISADM,C1_CS_REQ_SVC_LOC_LOG,
BATCHUSER,C1_CS_REQ_SVC_LOC_LOG_PARM,CISADM,C1_CS_REQ_SVC_LOC_LOG_PARM,
BATCHUSER,C1_CS_REQ_TYPE,CISADM,C1_CS_REQ_TYPE,
BATCHUSER,C1_CS_REQ_TYPE_ALG,CISADM,C1_CS_REQ_TYPE_ALG,
BATCHUSER,C1_CS_REQ_TYPE_ALG_CUST_CL,CISADM,C1_CS_REQ_TYPE_ALG_CUST_CL,
