INDEX_OWNER,TABLE_NAME,INDEX_NAME,COLUMN_POSITION,COLUMN_NAME,DESCEND
CISADM,W1_CU_CNTRCTR_BID_CHAR,W1M772P0,3,SEQ_NUM,ASC
CISADM,W1_CU_CNTRCTR_BID_CHAR,W1M772S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_CU_CNTRCTR_BID_DOCUMENT,W1M776P0,1,CU_CNTRCTR_BID_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_DOCUMENT,W1M776P0,2,ATTACHMENT_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_DOCUMENT,W1M776P0,3,DOCUMENT_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_IDENTIFIER,W1M773P0,1,CU_CNTRCTR_BID_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_IDENTIFIER,W1M773P0,2,CU_CNTRCTR_BID_ID_TYPE_FLG,ASC
CISADM,W1_CU_CNTRCTR_BID_IDENTIFIER,W1M773S1,1,CU_CNTRCTR_BID_ID_TYPE_FLG,ASC
CISADM,W1_CU_CNTRCTR_BID_IDENTIFIER,W1M773S1,2,W1_ID_VALUE,ASC
CISADM,W1_CU_CNTRCTR_BID_K,W1M778P0,1,CU_CNTRCTR_BID_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_K,W1M778P0,2,ENV_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG,W1M774P0,1,CU_CNTRCTR_BID_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG,W1M774P0,2,SEQNO,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG,W1M774S1,1,CHAR_TYPE_CD,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG,W1M774S1,2,CHAR_VAL_FK1,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG,W1M774S2,1,CHAR_TYPE_CD,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG,W1M774S2,2,CHAR_VAL,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG_PARM,W1M775P0,1,CU_CNTRCTR_BID_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG_PARM,W1M775P0,2,SEQNO,ASC
CISADM,W1_CU_CNTRCTR_BID_LOG_PARM,W1M775P0,3,PARM_SEQ,ASC
CISADM,W1_CU_CNTRCTR_BID_NOTE,W1M777P0,1,CU_CNTRCTR_BID_ID,ASC
CISADM,W1_CU_CNTRCTR_BID_NOTE,W1M777P0,2,SEQNO,ASC
CISADM,W1_CU_COST_CENTER,W1M755P0,1,CU_ID,ASC
CISADM,W1_CU_COST_CENTER,W1M755P0,2,COST_CENTER_CD,ASC
CISADM,W1_CU_COST_CENTER,W1M755P0,3,CU_ACCT_USAGE_FLG,ASC
CISADM,W1_CU_DOCUMENT,W1M751P0,1,CU_ID,ASC
CISADM,W1_CU_DOCUMENT,W1M751P0,2,ATTACHMENT_ID,ASC
CISADM,W1_CU_DOCUMENT,W1M751P0,3,DOCUMENT_ID,ASC
CISADM,W1_CU_IDENTIFIER,W1M748P0,1,CU_ID,ASC
CISADM,W1_CU_IDENTIFIER,W1M748P0,2,CU_ID_TYPE_FLG,ASC
CISADM,W1_CU_IDENTIFIER,W1M748S1,1,CU_ID_TYPE_FLG,ASC
CISADM,W1_CU_IDENTIFIER,W1M748S1,2,W1_ID_VALUE,ASC
CISADM,W1_CU_K,W1M756P0,1,CU_ID,ASC
CISADM,W1_CU_K,W1M756P0,2,ENV_ID,ASC
CISADM,W1_CU_LOG,W1M749P0,1,CU_ID,ASC
CISADM,W1_CU_LOG,W1M749P0,2,SEQNO,ASC
CISADM,W1_CU_LOG,W1M749S1,1,CHAR_TYPE_CD,ASC
CISADM,W1_CU_LOG,W1M749S1,2,CHAR_VAL_FK1,ASC
CISADM,W1_CU_LOG,W1M749S2,1,CHAR_TYPE_CD,ASC
CISADM,W1_CU_LOG,W1M749S2,2,CHAR_VAL,ASC
CISADM,W1_CU_LOG_PARM,W1M750P0,1,CU_ID,ASC
CISADM,W1_CU_LOG_PARM,W1M750P0,2,SEQNO,ASC
CISADM,W1_CU_LOG_PARM,W1M750P0,3,PARM_SEQ,ASC
CISADM,W1_CU_NOTE,W1M752P0,1,CU_ID,ASC
CISADM,W1_CU_NOTE,W1M752P0,2,SEQNO,ASC
CISADM,W1_CU_REF_CU,W1M754P0,1,CU_ID,ASC
CISADM,W1_CU_REF_CU,W1M754P0,2,REF_CU_ID,ASC
CISADM,W1_CU_RESRC_TYPE,W1M753P0,1,CU_ID,ASC
CISADM,W1_CU_RESRC_TYPE,W1M753P0,2,RESRC_TYPE_ID,ASC
CISADM,W1_CU_RESRC_TYPE,W1M753P0,3,MAT_ACTION_FLG,ASC
CISADM,W1_CU_SET,W1C757P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_CHAR,W1C758P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_CHAR,W1C758P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_CU_SET_CHAR,W1C758P0,3,SEQ_NUM,ASC
CISADM,W1_CU_SET_CHAR,W1C758S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_CU_SET_DOCUMENT,W1C762P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_DOCUMENT,W1C762P0,2,ATTACHMENT_ID,ASC
CISADM,W1_CU_SET_DOCUMENT,W1C762P0,3,DOCUMENT_ID,ASC
CISADM,W1_CU_SET_IDENTIFIER,W1C759P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_IDENTIFIER,W1C759P0,2,CU_SET_ID_TYPE_FLG,ASC
CISADM,W1_CU_SET_IDENTIFIER,W1C759S1,1,CU_SET_ID_TYPE_FLG,ASC
CISADM,W1_CU_SET_IDENTIFIER,W1C759S1,2,W1_ID_VALUE,ASC
CISADM,W1_CU_SET_L,W1C764P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_L,W1C764P0,2,LANGUAGE_CD,ASC
CISADM,W1_CU_SET_LOG,W1C760P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_LOG,W1C760P0,2,SEQNO,ASC
CISADM,W1_CU_SET_LOG,W1C760S1,1,CHAR_TYPE_CD,ASC
CISADM,W1_CU_SET_LOG,W1C760S1,2,CHAR_VAL_FK1,ASC
CISADM,W1_CU_SET_LOG,W1C760S2,1,CHAR_TYPE_CD,ASC
CISADM,W1_CU_SET_LOG,W1C760S2,2,CHAR_VAL,ASC
CISADM,W1_CU_SET_LOG_PARM,W1C761P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_LOG_PARM,W1C761P0,2,SEQNO,ASC
CISADM,W1_CU_SET_LOG_PARM,W1C761P0,3,PARM_SEQ,ASC
CISADM,W1_CU_SET_NOTE,W1M763P0,1,CU_SET_CD,ASC
CISADM,W1_CU_SET_NOTE,W1M763P0,2,SEQNO,ASC
CISADM,W1_CU_USAGE,W1C807P0,1,CU_USAGE_CD,ASC
CISADM,W1_CU_USAGE_CHAR,W1C809P0,1,CU_USAGE_CD,ASC
CISADM,W1_CU_USAGE_CHAR,W1C809P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_CU_USAGE_CHAR,W1C809P0,3,SEQ_NUM,ASC
CISADM,W1_CU_USAGE_CHAR,W1C809S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_CU_USAGE_COST_CENTER,W1C810P0,1,CU_USAGE_CD,ASC
CISADM,W1_CU_USAGE_COST_CENTER,W1C810P0,2,COST_CENTER_CD,ASC
CISADM,W1_CU_USAGE_L,W1C808P0,1,CU_USAGE_CD,ASC
CISADM,W1_CU_USAGE_L,W1C808P0,2,LANGUAGE_CD,ASC
CISADM,W1_DESIGN_ELEMENT,W1T796P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT,W1T796S1,1,W1_DESCR100_UPR,ASC
CISADM,W1_DESIGN_ELEMENT_CHAR,W1M799P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_CHAR,W1M799P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_DESIGN_ELEMENT_CHAR,W1M799P0,3,SEQ_NUM,ASC
CISADM,W1_DESIGN_ELEMENT_CU,W1T798P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_CU,W1T798P0,2,CU_ID,ASC
CISADM,W1_DESIGN_ELEMENT_DOCUMENT,W1M803P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_DOCUMENT,W1M803P0,2,ATTACHMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_DOCUMENT,W1M803P0,3,DOCUMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_IDENTIFIER,W1M800P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_IDENTIFIER,W1M800P0,2,DESIGN_ELEMENT_ID_TYPE_FLG,ASC
CISADM,W1_DESIGN_ELEMENT_ITEMS,W1T797P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_ITEMS,W1T797P0,2,RESRC_TYPE_ID,ASC
CISADM,W1_DESIGN_ELEMENT_ITEMS,W1T797P0,3,CU_ID,ASC
CISADM,W1_DESIGN_ELEMENT_ITEMS,W1T797P0,4,MAT_ACTION_FLG,ASC
CISADM,W1_DESIGN_ELEMENT_K,W1T806P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_K,W1T806P0,2,ENV_ID,ASC
CISADM,W1_DESIGN_ELEMENT_LOG,W1M801P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_LOG,W1M801P0,2,SEQNO,ASC
CISADM,W1_DESIGN_ELEMENT_LOG_PARM,W1M802P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_LOG_PARM,W1M802P0,2,SEQNO,ASC
CISADM,W1_DESIGN_ELEMENT_LOG_PARM,W1M802P0,3,PARM_SEQ,ASC
CISADM,W1_DESIGN_ELEMENT_NOTE,W1M804P0,1,DESIGN_ELEMENT_ID,ASC
CISADM,W1_DESIGN_ELEMENT_NOTE,W1M804P0,2,SEQNO,ASC
CISADM,W1_DIST_CODE,W1C615P0,1,DISTRIBUTION_CD,ASC
CISADM,W1_DIST_CODE_CHAR,W1C617P0,1,DISTRIBUTION_CD,ASC
CISADM,W1_DIST_CODE_CHAR,W1C617P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_DIST_CODE_CHAR,W1C617P0,3,SEQ_NUM,ASC
CISADM,W1_DIST_CODE_CHAR,W1C617S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_DIST_CODE_GL_DETAIL,W1C618P0,1,DISTRIBUTION_CD,ASC
CISADM,W1_DIST_CODE_GL_DETAIL,W1C618P0,2,EFFDT,ASC
CISADM,W1_DIST_CODE_L,W1C616P0,1,DISTRIBUTION_CD,ASC
CISADM,W1_DIST_CODE_L,W1C616P0,2,LANGUAGE_CD,ASC
CISADM,W1_DOCUMENT,W1M577P0,1,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT,W1M577S1,1,BUS_OBJ_CD,ASC
CISADM,W1_DOCUMENT,W1M577S1,2,BO_STATUS_CD,ASC
CISADM,W1_DOCUMENT,W1M577S1,3,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT_CHAR,W1M579P0,1,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT_CHAR,W1M579P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_DOCUMENT_CHAR,W1M579P0,3,EFF_DT,ASC
CISADM,W1_DOCUMENT_CHAR,W1M579S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_DOCUMENT_IDENTIFIER,W1M580P0,1,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT_IDENTIFIER,W1M580P0,2,DOCUMENT_ID_TYPE_FLG,ASC
CISADM,W1_DOCUMENT_IDENTIFIER,W1M580S1,1,W1_ID_VALUE,ASC
CISADM,W1_DOCUMENT_IDENTIFIER,W1M580S1,2,DOCUMENT_ID_TYPE_FLG,ASC
CISADM,W1_DOCUMENT_IDENTIFIER,W1M580S2,1,SYS_NC00005$,ASC
CISADM,W1_DOCUMENT_IDENTIFIER,W1M580S2,2,DOCUMENT_ID_TYPE_FLG,ASC
CISADM,W1_DOCUMENT_K,W1M578P0,1,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT_K,W1M578P0,2,ENV_ID,ASC
CISADM,W1_DOCUMENT_LOG,W1M581P0,1,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT_LOG,W1M581P0,2,SEQNO,ASC
CISADM,W1_DOCUMENT_LOG_PARM,W1M582P0,1,DOCUMENT_ID,ASC
CISADM,W1_DOCUMENT_LOG_PARM,W1M582P0,2,SEQNO,ASC
CISADM,W1_DOCUMENT_LOG_PARM,W1M582P0,3,PARM_SEQ,ASC
CISADM,W1_DOCUMENT_TYPE,W1C606P0,1,DOCUMENT_TYPE_CD,ASC
CISADM,W1_DOCUMENT_TYPE_CHAR,W1C608P0,1,DOCUMENT_TYPE_CD,ASC
CISADM,W1_DOCUMENT_TYPE_CHAR,W1C608P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_DOCUMENT_TYPE_CHAR,W1C608P0,3,SEQ_NUM,ASC
CISADM,W1_DOCUMENT_TYPE_CHAR,W1C608S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_DOCUMENT_TYPE_L,W1C607P0,1,DOCUMENT_TYPE_CD,ASC
CISADM,W1_DOCUMENT_TYPE_L,W1C607P0,2,LANGUAGE_CD,ASC
CISADM,W1_EMPLOYEE,W1M500P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE,W1M500S1,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE,W1M500S1,2,EMPLOYEE_TYPE_CD,ASC
CISADM,W1_EMPLOYEE,W1M500S2,1,BUS_OBJ_CD,ASC
CISADM,W1_EMPLOYEE,W1M500S2,2,BO_STATUS_CD,ASC
CISADM,W1_EMPLOYEE,W1M500S2,3,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE,W1M500S3,1,W1_LAST_NAME_UPR,ASC
CISADM,W1_EMPLOYEE,W1M500S4,1,RESRC_TYPE_ID,ASC
CISADM,W1_EMPLOYEE_BILLABLE_RATE,W1M503P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_BILLABLE_RATE,W1M503P0,2,EFFDT,ASC
CISADM,W1_EMPLOYEE_CHAR,W1M506P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_CHAR,W1M506P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_CHAR,W1M506P0,3,SEQ_NUM,ASC
CISADM,W1_EMPLOYEE_CHAR,W1M506S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_EMPLOYEE_IDENTIFIER,W1M505P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_IDENTIFIER,W1M505P0,2,EMPLOYEE_ID_TYPE_FLG,ASC
CISADM,W1_EMPLOYEE_IDENTIFIER,W1M505S0,1,W1_ID_VALUE,ASC
CISADM,W1_EMPLOYEE_IDENTIFIER,W1M505S0,2,EMPLOYEE_ID_TYPE_FLG,ASC
CISADM,W1_EMPLOYEE_IDENTIFIER,W1M505S1,1,SYS_NC00005$,ASC
CISADM,W1_EMPLOYEE_IDENTIFIER,W1M505S1,2,EMPLOYEE_ID_TYPE_FLG,ASC
CISADM,W1_EMPLOYEE_K,W1M509P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_K,W1M509P0,2,ENV_ID,ASC
CISADM,W1_EMPLOYEE_LOG,W1M507P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_LOG,W1M507P0,2,SEQNO,ASC
CISADM,W1_EMPLOYEE_LOG,W1M507S1,1,CHAR_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_LOG,W1M507S1,2,CHAR_VAL_FK1,ASC
CISADM,W1_EMPLOYEE_LOG,W1M507S2,1,CHAR_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_LOG,W1M507S2,2,CHAR_VAL,ASC
CISADM,W1_EMPLOYEE_LOG_PARM,W1M508P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_LOG_PARM,W1M508P0,2,SEQNO,ASC
CISADM,W1_EMPLOYEE_LOG_PARM,W1M508P0,3,PARM_SEQ,ASC
CISADM,W1_EMPLOYEE_PHONE,W1M504P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_PHONE,W1M504P0,2,SEQNO,ASC
CISADM,W1_EMPLOYEE_PHONE,W1M504S1,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_PHONE,W1M504S1,2,PHONE_TYPE_FLG,ASC
CISADM,W1_EMPLOYEE_TRAINING,W1M502P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_TRAINING,W1M502P0,2,COURSE_FLG,ASC
CISADM,W1_EMPLOYEE_TRAINING,W1M502P0,3,EFFECTIVE_DT,ASC
CISADM,W1_EMPLOYEE_TYPE,W1C526P0,1,EMPLOYEE_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_TYPE_CHAR,W1C528P0,1,EMPLOYEE_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_TYPE_CHAR,W1C528P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_TYPE_CHAR,W1C528P0,3,SEQ_NUM,ASC
CISADM,W1_EMPLOYEE_TYPE_CHAR,W1C528S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_EMPLOYEE_TYPE_L,W1C527P0,1,EMPLOYEE_TYPE_CD,ASC
CISADM,W1_EMPLOYEE_TYPE_L,W1C527P0,2,LANGUAGE_CD,ASC
CISADM,W1_EMPLOYEE_WORK_AREA,W1M501P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMPLOYEE_WORK_AREA,W1M501P0,2,SERVICE_AREA_CD,ASC
CISADM,W1_EMP_AUTO_TIMESHEET,W1M954P0,1,EMPLOYEE_ID,ASC
CISADM,W1_EMP_AUTO_TIMESHEET,W1M954P0,2,SEQNO,ASC
CISADM,W1_EQUIP_GROUP,W1C768P0,1,EQUIP_GROUP_CD,ASC
CISADM,W1_EQUIP_GROUP_CHAR,W1C770P0,1,EQUIP_GROUP_CD,ASC
CISADM,W1_EQUIP_GROUP_CHAR,W1C770P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_EQUIP_GROUP_CHAR,W1C770P0,3,SEQ_NUM,ASC
CISADM,W1_EQUIP_GROUP_CHAR,W1C770S1,1,SRCH_CHAR_VAL,ASC
