table_name,column_name,data_type,index_name,column_position,index_type,index_status,index_visibility,index_partitioned,index_uniqueness,is_leading_column,is_valid_visible,is_date_like,in_domain_metadata,workstreams,prefilter_priority,design_guidance
CI_COLL_AGY_REF,COLL_AGY_REF_ID,CHAR,XT011P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_AGY_REF,ACCT_ID,CHAR,XT011S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_AGY_REF,WO_PROC_ID,CHAR,XT011S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_AGY_REF,REF_STATUS_FLG,CHAR,XT011S3,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_AGY_REF,EVT_SEQ,NUMBER,XT011S2,2,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_AGY_REF,COLL_AGY_CD,CHAR,XT011S3,2,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_AGY_REF_K,COLL_AGY_REF_ID,CHAR,XT514P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_AGY_REF_K,ENV_ID,NUMBER,XT514P0,2,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CL,COLL_CL_CD,CHAR,XC065P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CL_CNTL,COLL_CL_CNTL_CD,CHAR,XC066P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CL_CNTL,COLL_CL_CD,CHAR,XC066S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CL_CNTL,COLL_CL_CNTL_CD,CHAR,XC066S1,2,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CL_CNTL,DEBT_CL_CD,CHAR,XC066S1,3,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CL_CNTL,CURRENCY_CD,CHAR,XC066S1,4,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CL_CNTL,CIS_DIVISION,CHAR,XC066S1,5,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CL_CNTL_L,COLL_CL_CNTL_CD,CHAR,XC512P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CL_CNTL_L,LANGUAGE_CD,CHAR,XC512P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CL_L,COLL_CL_CD,CHAR,XC513P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CL_L,LANGUAGE_CD,CHAR,XC513P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CRIT,COLL_CL_CNTL_CD,CHAR,XC067P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CRIT,COLL_PROC_TMPL_CD,CHAR,XC067S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_COLL_CRIT,COLL_CAT_PRIO_FLG,CHAR,XC067P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CRIT,CRIT_PRIO_FLG,CHAR,XC067P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_COLL_CRIT_CT,COLL_CL_CNTL_CD,CHAR,XC068P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
