OWNER,TABLE_NAME,TABLE_COMMENT,TABLESPACE_NAME,TEMPORARY,PARTITIONED,NUM_ROWS,BLOCKS,AVG_ROW_LEN,LAST_ANALYZED
CISADM,C1_OFFCYC_BGEN_LOG_PARM,,CISTS_01,N,NO,43057,438,36,2026-01-07 21:29:06
CISADM,C1_OFFCYC_BGEN_SA,,CISTS_01,N,NO,38559,460,29,2026-01-09 02:13:12
CISADM,C1_PA_RQST,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_ELIG_RSLT,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_K,,,N,NO,0,,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_REL_OBJ,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_TYPE,,CISTS_01,N,NO,6,4,218,2026-01-07 21:29:06
CISADM,C1_PA_RQST_TYPE_ALG,,CISTS_01,N,NO,14,4,46,2026-01-07 21:29:06
CISADM,C1_PA_RQST_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:06
CISADM,C1_PA_RQST_TYPE_DOWN_PAY_OPT,,CISTS_01,N,NO,16,4,31,2026-01-07 21:29:07
CISADM,C1_PA_RQST_TYPE_DOWN_PAY_OPT_L,,CISTS_01,N,NO,16,4,36,2026-01-07 21:29:07
CISADM,C1_PA_RQST_TYPE_L,,CISTS_01,N,NO,6,4,97,2026-02-11 02:19:41
CISADM,C1_PER_CONTDET,,CISTS_01,N,NO,72394,4992,179,2026-02-13 02:17:15
CISADM,C1_PER_CONT_DET_K,,,N,NO,72394,,16,2026-01-07 21:29:07
CISADM,C1_PER_SS_PAYOPT,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PER_SS_PAYOPT_K,,,N,NO,0,,0,2026-01-07 21:29:07
CISADM,C1_PREM_ACTIVITY_GTT,,,Y,NO,,,,
CISADM,C1_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_COMP,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_COMP_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_COMP_CHILD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_COMP_ELIG_CRIT,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_COMP_ELIG_CRIT_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
CISADM,C1_PROD_COMP_ELIG_CRIT_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:07
