OWNER,TABLE_NAME,PARTITION_NAME,OBJECT_TYPE,NUM_ROWS,BLOCKS,AVG_ROW_LEN,SAMPLE_SIZE,LAST_ANALYZED,STALE_STATS,GLOBAL_STATS,USER_STATS
CISADM,D1_SP_LOG_PARM,,TABLE,90,5,34,90,2026-02-03 17:47:46,NO,YES,NO
CISADM,D1_SP_MKT_PARTICIPANT,,TABLE,0,0,0,0,2026-02-03 17:47:46,NO,YES,NO
CISADM,D1_SP_MSRMT_CYC_SCHED_RTE,,TABLE,246754,11368,127,246754,2026-02-04 05:01:05,NO,YES,NO
CISADM,D1_SP_QTY,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_K,,TABLE,0,,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_LOG,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_TYPE_IDENTIFIER,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_TYPE_IDENTIFIER_L,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_QTY_TYPE_L,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_REL,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_SNAP_DL,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_SNAP_DL_K,,TABLE,0,,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_TYPE,,TABLE,23,8,338,23,2026-02-04 05:00:40,NO,YES,NO
CISADM,D1_SP_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_TYPE_DEVICE_TYPE,,TABLE,38,8,22,38,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_TYPE_DISCONNECT_LOCATION,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_TYPE_DIV,,TABLE,21,8,15,21,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_TYPE_FIELD_TASK_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_TYPE_L,,TABLE,46,8,35,46,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_UNR_USG_SNAP_DL,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_UNR_USG_SNAP_DL_K,,TABLE,0,,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_USG_SNAP_DL,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_USG_SNAP_DL_K,,TABLE,0,,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_VEE_EXCP_SNAP_DL,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SP_VEE_EXCP_SNAP_DL_K,,TABLE,0,,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SQI,,TABLE,43,4,55,43,2026-02-04 05:00:41,NO,YES,NO
CISADM,D1_SQI_L,,TABLE,86,8,33,86,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_STG_MSRMT,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_SVC_TYPE,,TABLE,8,8,39,8,2026-02-04 05:00:40,NO,YES,NO
CISADM,D1_SVC_TYPE_L,,TABLE,16,8,20,16,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_TOU,,TABLE,4,4,257,4,2026-02-04 05:00:37,NO,YES,NO
CISADM,D1_TOU_GRP,,TABLE,1,4,41,1,2026-02-04 05:00:37,NO,YES,NO
CISADM,D1_TOU_GRP_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_TOU_GRP_L,,TABLE,2,8,49,2,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_TOU_GRP_TOU,,TABLE,3,4,16,3,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_TOU_L,,TABLE,8,8,21,8,2026-02-03 17:47:47,NO,YES,NO
CISADM,D1_TOU_MAP,,TABLE,1,5,124,1,2026-02-04 05:00:38,NO,YES,NO
CISADM,D1_TOU_MAP_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_DATA,,TABLE,24817,244,59,24817,2026-02-04 05:00:53,NO,YES,NO
CISADM,D1_TOU_MAP_DATA_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_DATA_TMP,,TABLE,,,,,,,NO,NO
CISADM,D1_TOU_MAP_DATA_TMP2,,TABLE,,,,,,,NO,NO
CISADM,D1_TOU_MAP_DYN_OPT,,TABLE,0,0,0,0,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_K,,TABLE,1,,18,1,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_L,,TABLE,2,5,54,2,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_LOG,,TABLE,1,5,106,1,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_LOG_PARM,,TABLE,1,5,34,1,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_TMPLT,,TABLE,1,4,3378,1,2026-02-04 05:00:40,NO,YES,NO
CISADM,D1_TOU_MAP_TMPLT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_TMPLT_L,,TABLE,2,8,66,2,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_TYPE,,TABLE,2,8,118,2,2026-02-04 05:00:41,NO,YES,NO
CISADM,D1_TOU_MAP_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:48,NO,YES,NO
