OWNER,TABLE_NAME,INDEX_NAME,UNIQUENESS,INDEX_TYPE,STATUS,VISIBILITY,TABLESPACE_NAME,PARTITIONED,LAST_ANALYZED
CISADM,CI_ZONE_HDL,XC676P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-09 02:12:15
CISADM,CI_ZONE_HDL_L,XC677P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-13 02:15:05
CISADM,CI_ZONE_HDL_PRM,XC678P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-09 02:12:43
CISADM,CI_ZONE_HDL_PRM_L,XC679P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-13 02:15:06
CISADM,CI_ZONE_L,XC680P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-09 02:12:58
CISADM,CI_ZONE_PRM,XC681P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-09 02:19:09
CISADM,CMS_SA_SNAPSHOT,PK_CMS_SA_SNAPSHOT,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-17 02:19:59
CISADM,D1_ACTIVITY,D1T319P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-21 22:17:05
CISADM,D1_ACTIVITY,D1T319S0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-21 22:17:05
CISADM,D1_ACTIVITY_ADJ_TYPE,D1C607P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:41
CISADM,D1_ACTIVITY_CHAR,D1T320P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-17 22:11:43
CISADM,D1_ACTIVITY_CHAR,D1T320S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-17 22:11:43
CISADM,D1_ACTIVITY_IDENTIFIER,D1T330P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:04
CISADM,D1_ACTIVITY_IDENTIFIER,D1T330S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:04
