DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
2005-01-20-12.01.00,1/19/05,29472549,01,NI-INSTORE,11/14/25,SM-DISC-B58,560772008900,SP-RES,25398-SP-000,7635912342,917 MEQUON AVE,FDL-15-17-23-14-761-00,
2005-01-21-12.01.00,1/20/05,29130814,01,NI-INSTORE,9/5/25,SM-DISC-B75,848827676800,WT-RES,25414-WT-000,5306466088,853 MEQUON AVE,FDL-15-17-23-14-769-00,
2005-01-31-12.01.00,1/30/05,29130816,01,NI-INSTORE,6/2/25,SM-DISC-B75,091164651200,WT-COM,17504-WT-000,1685912621,365 FOND DU LAC AVE,FDL-15-17-14-42-265-00,
2005-02-02-12.02.00,2/1/05,29472560,01,NI-INSTORE,8/25/25,SM-DISC-B58,253353719800,WT-RES,25646-WT-000,0692608167,305 18TH ST,FDL-15-17-23-21-058-00,
2005-02-04-12.02.00,2/3/05,29472531,01,NI-INSTORE,9/3/25,SM-DISC-B58,790742967100,WT-RES,15674-WT-000,7672891325,354 8TH ST,FDL-15-17-14-31-009-00,
2005-02-08-12.02.00,2/7/05,29472573,02,NI-INSTORE,6/24/25,SM-DISC-B58,597126033300,WT-RES,10170-WT-000,4237917452,50 S PARK AVE,FDL-15-17-11-33-623-00,
2005-02-09-12.02.00,2/8/05,29472576,01,NI-INSTORE,9/10/25,SM-DISC-B58,137086680400,WT-RES,25684-WT-000,5915044112,344 18TH ST,FDL-15-17-23-21-077-00,
2005-02-14-12.02.00,2/13/05,15946163,01,NI-INSTORE,9/30/25,SM-DISC-B75,031913461000,WT-RES,29738-WT-000,9151328132,32 GUINDON BLVD,FDL-15-17-22-14-812-00,
2005-02-28-12.02.00,2/27/05,29468767,01,NI-INSTORE,9/8/25,SM-DISC-B75,522665639000,WT-RES,24596-WT-000,8682895782,149 GUINDON BLVD,FDL-15-17-22-14-779-00,
2005-03-23-12.03.00,3/22/05,29468782,03,NI-INSTORE,7/2/25,SM-DISC-B75,336998781400,WT-RES,178-WT-000,7335984767,683 PRAIRIE RD,FDL-15-17-01-42-280-00,
