domain_name,workstream,join_tree_id,join_sequence,join_type,left_table,right_table,join_expression
Deposit_Control___Domain,Cashiering,JoinTree_1,1,inner,CI_TNDR_CTL,CI_DEP_CTL,CI_TNDR_CTL.DEP_CTL_ID == CI_DEP_CTL.DEP_CTL_ID
Deposit_Control___Domain,Cashiering,JoinTree_1,2,inner,CI_TNDR_CTL,CI_TNDR_SRCE_L,CI_TNDR_CTL.TNDR_SOURCE_CD == CI_TNDR_SRCE_L.TNDR_SOURCE_CD and CI_TNDR_SRCE_L.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_1,3,inner,CI_TNDR_CTL,CI_LOOKUP_VAL_L,CI_TNDR_CTL.TNDR_CTL_ST_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'TNDR_CTL_ST_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_1,4,leftOuter,CI_TNDR_CTL,SC_USER,CI_TNDR_CTL.USER_ID == SC_USER.USER_ID
Deposit_Control___Domain,Cashiering,JoinTree_1,5,leftOuter,CI_TNDR_CTL,SC_USER_1,CI_TNDR_CTL.BALANCED_USER_ID == SC_USER_1.USER_ID
Deposit_Control___Domain,Cashiering,JoinTree_1,6,leftOuter,CI_TNDR_CTL,CI_BATCH_CTRL_L,CI_TNDR_CTL.BATCH_CD == CI_BATCH_CTRL_L.BATCH_CD and CI_BATCH_CTRL_L.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_1,7,leftOuter,CI_DEP_CTL,SC_USER_2,CI_DEP_CTL.USER_ID == SC_USER_2.USER_ID
Deposit_Control___Domain,Cashiering,JoinTree_1,8,leftOuter,CI_DEP_CTL,SC_USER_3,CI_DEP_CTL.BALANCED_USER_ID == SC_USER_3.USER_ID
Deposit_Control___Domain,Cashiering,JoinTree_1,9,inner,CI_DEP_CTL,CI_LOOKUP_VAL_L_1,CI_DEP_CTL.TNDR_SRCE_TYPE_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'TNDR_SRCE_TYPE_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_1,10,inner,CI_DEP_CTL,CI_LOOKUP_VAL_L_2,CI_DEP_CTL.DEP_CTL_STATUS_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'DEP_CTL_STATUS_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
